template_name,template,accuracy,correct,total,ci_low,ci_high,mean_id,mean_lle,std_id,std_lle,num_tokens
minimal_qa,"Q: {q}
A:",0.04666666666666667,7,150,0.022786549161261972,0.09318647239912747,16.133333206176758,0.5414741635322571,0.7180220484733582,0.1451699584722519,15
minimal_answer,"Answer: {q}
Final number:",0.02666666666666667,4,150,0.010417940822967993,0.06655389051214453,16.0,0.521231472492218,0.7071067690849304,0.15580900013446808,16
direct_answer,"Answer the question: {q}
Return only the final number on the last line.",0.02,3,150,0.006824751322967455,0.057146683270386085,16.040000915527344,0.4827263653278351,0.5986652374267578,0.13530637323856354,25
direct_provide,"Provide the answer: {q}
Return only the final number on the last line.",0.02666666666666667,4,150,0.010417940822967993,0.06655389051214453,15.960000038146973,0.4728736877441406,0.7200000286102295,0.14531581103801727,25
direct_give,"Give the solution: {q}
Return only the final number on the last line.",0.04666666666666667,7,150,0.022786549161261972,0.09318647239912747,15.960000038146973,0.4713158905506134,0.5986652374267578,0.14433659613132477,25
cot_explain,"Explain step by step: {q}
Then give the final answer as a number.",0.03333333333333333,5,150,0.01432043189809255,0.07565179617877894,15.920000076293945,0.48367422819137573,0.6273754239082336,0.1480640172958374,25
cot_reasoning,"Show your reasoning: {q}
End with just the number.",0.013333333333333334,2,150,0.0036641291512270503,0.04730690870036751,15.809523582458496,0.48094767332077026,0.7315376996994019,0.1481989175081253,21
cot_think,"Think through this problem: {q}
Provide the answer.",0.013333333333333334,2,150,0.0036641291512270503,0.04730690870036751,15.850000381469727,0.47824540734291077,0.8529360890388489,0.16283924877643585,20
structured_tutor,"You are a math tutor. Solve the problem step by step, but keep the explanation b",0.05333333333333334,8,150,0.027269539920193826,0.1017038783819546,15.89830493927002,0.4723232090473175,0.5429022908210754,0.12086212635040283,59
structured_steps,"Show your reasoning in 2â€“3 short steps. After the reasoning, on a new final line",0.08,12,150,0.04635364151865292,0.13462136375053144,15.913043022155762,0.48301175236701965,0.6194698214530945,0.1233583316206932,46
no_cot,"Answer the following question. Do NOT show your work. On a new final line, write",0.04,6,150,0.01845916060207442,0.08451346421655606,15.785714149475098,0.46976765990257263,0.8319717049598694,0.12469451129436493,42
